iter	Passed	Remaining
0	31	15965
1	68	16934
2	95	15770
3	128	15989
4	160	15859
5	183	15109
6	206	14559
7	227	13995
8	252	13775
9	277	13593
10	317	14101
11	340	13840
12	370	13897
13	395	13741
14	427	13818
15	449	13607
16	479	13623
17	514	13789
18	544	13792
19	573	13760
20	602	13743
21	635	13807
22	659	13682
23	688	13653
24	720	13685
25	744	13569
26	773	13558
27	806	13602
28	841	13672
29	870	13641
30	901	13631
31	929	13592
32	951	13468
33	981	13453
34	1013	13466
35	1034	13339
36	1054	13198
37	1074	13066
38	1097	12973
39	1129	12993
40	1153	12916
41	1185	12926
42	1218	12946
43	1238	12831
44	1289	13036
45	1320	13031
46	1346	12979
47	1369	12893
48	1399	12880
49	1425	12825
50	1461	12864
51	1490	12839
52	1534	12941
53	1565	12931
54	1589	12860
55	1619	12838
56	1640	12752
57	1672	12744
58	1698	12693
59	1734	12721
60	1760	12670
61	1798	12703
62	1842	12779
63	1876	12780
64	1901	12722
65	1928	12678
66	1961	12674
67	1987	12629
68	2019	12616
69	2064	12680
70	2112	12763
71	2141	12728
72	2170	12694
73	2210	12725
74	2237	12677
75	2265	12639
76	2291	12586
77	2322	12567
78	2356	12555
79	2390	12551
80	2430	12573
81	2456	12524
82	2484	12483
83	2510	12433
84	2540	12404
85	2563	12341
86	2589	12290
87	2637	12348
88	2663	12301
89	2688	12247
90	2715	12204
91	2755	12221
92	2782	12178
93	2826	12210
94	2867	12226
95	2893	12178
96	2921	12137
97	2963	12156
98	2999	12151
99	3025	12102
100	3067	12116
101	3095	12079
102	3120	12027
103	3157	12023
104	3184	11978
105	3210	11932
106	3251	11942
107	3278	11900
108	3307	11862
109	3338	11835
110	3385	11865
111	3414	11828
112	3440	11784
113	3469	11746
114	3503	11728
115	3529	11685
116	3565	11670
117	3602	11662
118	3634	11635
119	3666	11611
120	3694	11570
121	3746	11608
122	3778	11581
123	3806	11541
124	3832	11498
125	3867	11478
126	3894	11436
127	3922	11399
128	3952	11366
129	4002	11390
130	4035	11367
131	4063	11329
132	4092	11292
133	4119	11251
134	4147	11212
135	4176	11178
136	4205	11143
137	4232	11102
138	4262	11070
139	4288	11028
140	4317	10993
141	4344	10953
142	4370	10911
143	4397	10871
144	4425	10834
145	4452	10795
146	4494	10793
147	4522	10755
148	4548	10716
149	4577	10680
150	4606	10646
151	4635	10611
152	4662	10574
153	4694	10548
154	4721	10508
155	4749	10473
156	4799	10485
157	4827	10449
158	4867	10438
159	4888	10388
160	4915	10349
161	4944	10316
162	4956	10247
163	4984	10211
164	5011	10174
165	5046	10153
166	5074	10117
167	5116	10110
168	5149	10086
169	5161	10018
170	5189	9985
171	5217	9950
172	5246	9916
173	5262	9859
174	5290	9825
175	5314	9782
176	5338	9741
177	5349	9676
178	5377	9643
179	5404	9607
180	5442	9592
181	5470	9557
182	5497	9522
183	5526	9490
184	5555	9459
185	5584	9426
186	5609	9389
187	5639	9359
188	5670	9330
189	5702	9303
190	5728	9267
191	5756	9233
192	5784	9200
193	5813	9169
194	5846	9144
195	5872	9109
196	5902	9078
197	5932	9048
198	5961	9017
199	5987	8980
200	6022	8958
201	6072	8958
202	6099	8924
203	6115	8873
204	6141	8837
205	6169	8804
206	6196	8770
207	6235	8754
208	6259	8714
209	6292	8689
210	6321	8658
211	6349	8625
212	6378	8594
213	6405	8560
214	6434	8529
215	6467	8503
216	6490	8465
217	6518	8432
218	6552	8407
219	6589	8386
220	6617	8353
221	6657	8336
222	6694	8315
223	6704	8261
224	6741	8239
225	6769	8207
226	6812	8193
227	6849	8171
228	6876	8137
229	6887	8085
230	6917	8055
231	6948	8026
232	6978	7996
233	6992	7948
234	7020	7917
235	7048	7884
236	7071	7847
237	7100	7816
238	7130	7786
239	7162	7759
240	7191	7728
241	7213	7690
